Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
15 September 2022,পরীক্ষার ফলাফলের ভিত্তিতে সবকিছু বিবেচনা করায় বিদ্যালয়গুলোতে এখন ভয় ও প্রতিদ্বন্দ্বিতার সংস্কৃতি গড়ে উঠেছে—ঢাকা বিশ্ববিদ্যালয়ের শিক্ষা ও গবেষণা ইনস্টিটিউটের শিক্ষক মুহাম্মদ মাহবুব মোর্শেদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,2160,95,4,1
14 September 2022,"কৃষিমন্ত্রী আব্দুর রাজ্জাক বলেছেন, বিএনপি যখন ক্ষমতায় ছিল, বাংলাদেশে তখন খাদ্যঘাটতি ছিল। আওয়ামী লীগ ক্ষমতায় এসে দেশকে খাদ্যে স্বয়ংসম্পূর্ণ করেছে। খাদ্যসামগ্রীসহ নিত্যপণ্যের উচ্চমূল্যের প্রেক্ষাপটে তাঁর এ বক্তব্য যৌক্তিক বলে আপনি মনে করেন কি?",6003,11,88,1
13 September 2022,"খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদার বলেছেন, চালের বাজারে সিন্ডিকেট ভাঙতে গোয়েন্দা সংস্থা কাজ করছে, তবু সিন্ডিকেট ভাঙছে না। এ কথা বলে মন্ত্রী দায় এড়াতে পারেন বলে আপনি কি মনে করেন?",6794,2,98,0
12 September 2022,"বাংলাদেশ খুব ভালো দল, ছোট ছোট ভুলগুলো ঠিক করতে পারলেই সাফল্য আসবে—বিসিবি সভাপতি নাজমুল হাসানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",7496,15,84,1
11 September 2022,ইলিশের দাম সাধারণ মানুষের নাগালের মধ্যে রাখতে মাছটি বিদেশে রপ্তানি স্থায়ীভাবে বন্ধ করা উচিত বলে আপনি কি মনে করেন?,11210,94,6,0
10 September 2022,"একটি বিসিএসে চার বছর সময় লাগা দুঃখজনক, বিসিএসের পরীক্ষাপদ্ধতি বদলে নিয়োগের সময় আরও কমিয়ে আনা উচিত, পিএসসির সাবেক সদস্য বুয়েটের সহ-উপাচার্য আবদুল জব্বার খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",4408,91,8,1
9 September 2022,"শিক্ষাবিদ ও ঢাকা বিশ্ববিদ্যালয়ের ইমেরিটাস অধ্যাপক সিরাজুল ইসলাম চৌধুরী বলেছেন, দেশে যে রাষ্ট্রীয় দৌরাত্ম্য ও ফ্যাসিবাদ বিরাজ করছে, তার কারণে মানুষ মুখ খুলতে অত্যন্ত ভয় পায়, কী বললে কী হবে, সেই আতঙ্কে থাকে। তাঁর এ বক্তব্য আপনি কি সমর্থন করেন?",6209,76,23,1
8 September 2022,"ঢাকা উত্তরের মেয়র আতিকুল ইসলাম বলেছেন, ব্যক্তিগত গাড়ি নিয়ে স্কুলে আসা যাবে না, স্কুলে যাতায়াতের জন্য সিটি করপোরেশনের ব্যবস্থাপনায় স্কুলবাস চালু করা হবে। আপনি কি তা সমর্থন করেন?",6560,83,16,1
7 September 2022,"দেশের রাজনৈতিক পরিমণ্ডলে যে সংকট রয়েছে, তা ইভিএম নিয়ে নয়, আরও মোটাদাগের সংকট—প্রধান নির্বাচন কমিশনার (সিইসি) কাজী হাবিবুল আউয়ালের এ বক্তব্যের সঙ্গে আপনি কি একমত?",4232,79,19,2
6 September 2022,"ঢাকার প্রথম মেট্রোরেলে ভ্রমণে সর্বনিম্ন ভাড়া ২০ টাকা, আর উত্তরা থেকে মতিঝিল স্টেশন পর্যন্ত ভাড়া ১০০ টাকা নির্ধারণ করা হয়েছে—সাধারণ মানুষের জন্য এই ভাড়া ঠিক আছে বলে আপনি কি মনে করেন?",6944,21,78,1
5 September 2022,"কোন শিক্ষাপ্রতিষ্ঠান কী নিয়মকানুন করল, কোন রাজনৈতিক দলের কী ব্যবস্থা হলো, সেটি শিক্ষাপ্রতিষ্ঠান ও রাজনৈতিক দলের বিষয়—বেসরকারি বিশ্ববিদ্যালয়ে ছাত্ররাজনীতি নিয়ে শিক্ষামন্ত্রী দীপু মনির এই বক্তব্যে আপনি কি সন্তুষ্ট?",3630,7,92,1
4 September 2022,"বাংলাদেশ সীমান্তের ভেতরে মিয়ানমারের গোলা পড়া, আকাশ থেকে গুলিবর্ষণ ও আকাশসীমা লঙ্ঘনের ঘটনায় গভীর উদ্বেগ প্রকাশ করেছে ঢাকা। এ নিয়ে ১৫ দিনে তিন দফায় মিয়ানমারের দূতকে তলব করা হলো। আপনি কি মনে করেন বাংলাদেশের এ উদ্বেগে মিয়ানমার ইতিবাচক সাড়া দেবে?",4175,2,97,1
3 September 2022,ড্যাপে উল্লেখ করা প্রস্তাবগুলো বাস্তবায়ন করার সক্ষমতা রাজধানী উন্নয়ন কর্তৃপক্ষের নেই বলে মনে করে পরিকল্পনাবিদদের সংগঠন বাংলাদেশ ইনস্টিটিউট অব প্ল্যানার্স (বিআইপি)। সংগঠনটির এ ধারণার সঙ্গে আপনি কি একমত?,2163,95,3,2
2 September 2022,"ছাত্রলীগ-যুবলীগের নেতা-কর্মীরা চাকরি পায় না বলে দুঃখ প্রকাশ করে পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেন বলেছেন, তাঁর দলের ছেলেমেয়েরা সামান্য ব্যবসা করতে গেলে দুর্নাম হয়। চাকরিও তারা সহজে পায় না। এই বক্তব্যের সঙ্গে আপনি কি একমত?",5169,7,92,1
1 September 2022,"বিএনপির সংসদ সদস্য রুমিন ফারহানা বলেছেন, প্রধানমন্ত্রী স্পষ্ট নির্দেশনা দিয়েছিলেন, বিরোধী দলের কর্মসূচিতে বাধা দেওয়া হবে না। কিন্তু পুলিশ প্রশাসনের আচরণ আরেক রকম। প্রধানমন্ত্রী এক ধরনের আশ্বাস দিচ্ছেন। আর যুবলীগ, ছাত্রলীগের কর্মীরা বিরোধী দলের সঙ্গে অন্য রকম আচরণ করছেন। তাঁর এ বক্তব্যের সঙ্গে আপনি কি একমত?",5471,93,6,1
31 August 2022,"চীনের সঙ্গে চলমান উত্তেজনার মধ্যে তাইওয়ান সরকার জানিয়েছে, নিজেদের ভূখণ্ডের সুরক্ষা নিশ্চিত করার অধিকার তাদের রয়েছে। চীন যদি তাইওয়ানের ভূখণ্ডে হামলা চালায়, তবে তা প্রতিরোধ করা হবে। তাইওয়ানের এ ঘোষণায় যুক্তরাষ্ট্রের সঙ্গে চীনের সম্পর্ক আরও খারাপ হবে বলে আপনি কি মনে করেন?",3744,92,6,2
30 August 2022,হাসপাতালে সব সময় চিকিৎসক থাকেন না বলে ২৪ ঘণ্টাই হাসপাতালের ওষুধের দোকান খোলা রাখার যৌক্তিকতা নেই বলে মনে করেন ঢাকা দক্ষিণ সিটি করপোরেশনের মেয়র শেখ ফজলে নূর তাপস। আপনি কি তাঁর সঙ্গে একমত?,7283,3,97,0
29 August 2022,জ্বালানি তেলের দাম লিটারে ৫ টাকা কমিয়েছে সরকার। এটা নিত্যপণ্যের বাজারে স্বস্তি ফেরাতে কোনো ভূমিকা রাখবে বলে আপনি কি মনে করেন?,8298,2,97,1
28 August 2022,"গণতান্ত্রিক রাজনীতির স্বার্থে হামলা নয়, বিএনপিকে দেশের মানুষের কাছে জনপ্রিয়তার পরীক্ষায় অংশ নেওয়ার সুযোগ দেওয়া উচিত—রাষ্ট্রবিজ্ঞানের অধ্যাপক হারুন-অর-রশিদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",5862,95,4,1
27 August 2022,"দেশে ভয়ের পরিবেশ তৈরি হয়েছে দাবি করে মানবাধিকারকর্মী নূর খান বলেছেন, সবাই এখন এমন সব বিষয় নিয়ে কথা বলেন যাতে কেউ বিরাগভাজন না হন। তাঁর এই বক্তব্যের সঙ্গে আপনি কি একমত?",5570,92,7,1
26 August 2022,রাজশাহী বিশ্ববিদ্যালয়ের মতিহার হলে ছাত্রলীগ নেতার নির্যাতনের শিকার অর্থনীতি বিভাগের ছাত্র সামছুল ইসলামের বাঁ কানের পর্দা ফেটে গেছে। এ ঘটনায় বিশ্ববিদ্যালয় প্রশাসন অভিযুক্ত নেতার বিরুদ্ধে যথাযথ পদক্ষেপ নেবে বলে মনে করেন কি?,5243,3,96,1
25 August 2022,"সিল মারামারির নির্বাচন চাই না, সে জন্যই ইভিএম চাই—আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যে আপনি কি সন্তুষ্ট?",6268,6,93,1
24 August 2022,বর্তমানে দেশে উচ্চবিত্ত ও উচ্চমধ্যবিত্ত ছাড়া সবাই কষ্টে আছে—ক্যাব সভাপতি গোলাম রহমানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,8215,97,2,1
23 August 2022,বেশির ভাগ রাজনৈতিক দলের আপত্তি থাকলেও সর্বোচ্চ দেড় শ আসনে ইভিএমে ভোট করার সিদ্ধান্ত নিয়েছে নির্বাচন কমিশন। তারা রাজনৈতিক দলগুলোর আস্থা অর্জন করতে পারবে বলে আপনি কি মনে করেন?,7247,5,94,1
22 August 2022,"বিদ্যুৎ সাশ্রয়ে অফিস সময় এক ঘণ্টা কমানো হয়েছে, শিক্ষাপ্রতিষ্ঠানে ছুটি বাড়িয়ে করা হয়েছে দুই দিন। এগুলো করে সংকটের সুরাহা বলে আপনি মনে করেন কি?",8031,11,88,1
21 August 2022,"মেয়র আতিকুল ইসলাম বলেছেন, বিভিন্ন উন্নয়ন প্রকল্পে যাঁরা ভারী কাজ করবেন, বিশেষ করে যাঁরা ক্রেন চালাবেন তাঁদের মানসিক স্বাস্থ্য পরীক্ষা এমনকি ডোপ টেস্টও করাতে হবে। এটা দুর্ঘটনা রোধে ভূমিকা রাখবে বলে আপনি কি মনে করেন?",5115,88,11,1
20 August 2022,বাচ্চাদের নতুন হাঁটতে শেখার মতো করে টি-টোয়েন্টিতে বাংলাদেশকে এগোতে হবে—ক্রিকেটের এই ফরম্যাটের নতুন অধিনায়ক সাকিব আল হাসানের এ বক্তব্যের সঙ্গে আপনি কি একমত?,4733,40,58,2
19 August 2022,"বর্তমানে বাজারে পাইকারি ও খুচরা দামের যে তফাত, তা যৌক্তিক মূল্যবৃদ্ধির চেয়ে বেশি। ভোক্তার পক্ষে সরব হওয়ার মতো শক্তিশালী কোনো পক্ষও নেই বলে এমনটা হচ্ছে—সিপিডির গবেষণা পরিচালক খন্দকার গোলাম মোয়াজ্জেমের এই অভিমতের সঙ্গে আপনি কি একমত?",4843,99,1,0
18 August 2022,ভালো নম্বর–প্লেট দেওয়ার কথা বলে মোটরসাইকেলের চেয়ে রিকশার জন্য বেশি ফি নিতে চাইছে ঢাকা উত্তর সিটি করপোরেশন। আপনি কি তা সমর্থন করেন?,4662,5,94,1
17 August 2022,বাংলাদেশে গুম ও বিচারবহির্ভূত হত্যার অভিযোগের সুষ্ঠু ও নিরপেক্ষ তদন্তের আহ্বান জানিয়েছেন জাতিসংঘের মানবাধিকারবিষয়ক হাইকমিশনার মিশেল ব্যাশেলেত। তাঁর এ আহ্বানে সরকার সাড়া দেবে বলে আপনি কি মনে করেন?,5638,3,96,1
16 August 2022,ঢাকার উত্তরায় প্রাইভেট কারে বিআরটি প্রকল্পের গার্ডার পড়ে পাঁচজন নিহতের ঘটনায় দায়ী ব্যক্তিদের বিচার হবে বলে আপনি কি মনে করেন?,5658,4,95,1
