 ,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
3 February 2021,"কালোটাকা সাদা করার সুযোগ সততা ও গণতন্ত্রের পরিপন্থী, বিশিষ্টজনদের এই অভিমতের সঙ্গে আপনি কি একমত?",3212,88,10,2
2 February 2021,রাজধানীতে পথের খাবার স্বাস্থ্যসম্মত করতে বিশেষ উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,3838,8,91,1
1 February 2021,কিছু সরকারি কর্মকর্তা পরিষদকে কার্যকর করতে দিচ্ছেন না—উপজেলা পরিষদ অ্যাসোসিয়েশনের এ অভিযোগ যৌক্তিক বলে মনে করেন কি?,2598,86,10,4
31 January 2021,আগামী ৩১ মার্চের পর পয়োনালার সংযোগ জলাশয়ে দেওয়া হলে আইনি ব্যবস্থা—ডিএনসিসি এ অবস্থানে অনড় থাকতে পারবে বলে মনে করেন কি?,2196,10,88,2
30 January 2021,যোগ্য না হয়েও সামাজিক নিরাপত্তা কর্মসূচির আওতায় ভাতা পাচ্ছেন ৪৬ শতাংশ ব্যক্তি। এ ক্ষেত্রে ভাতার তালিকা প্রস্তুতকারীদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,2332,10,89,1
29 January 2021,শিক্ষাপ্রতিষ্ঠানগুলোতে ছুটি বাড়ানোর সিদ্ধান্তের সঙ্গে আপনি কি একমত?,6584,61,38,1
28 January 2021,চট্টগ্রামের নির্বাচন অনিয়মের নির্বাচনের মডেল—নির্বাচন কমিশনার মাহবুব তালুকদারের এ মন্তব্যের সঙ্গে আপনি কি একমত?,3660,92,6,2
27 January 2021,বৈদেশিক মুদ্রা নিয়ন্ত্রণ আইনে করা বেশি পুরোনো মামলাগুলো বাদ দিতে চায় কেন্দ্রীয় ব্যাংক। তাদের এ দাবি যুক্তিযুক্ত বলে মনে করেন কি?,2975,8,89,3
26 January 2021,দেশের মোট ঋণখেলাপি ৩ লাখ ৩৫ হাজার জন—তাঁদের কাছ থেকে অর্থ আদায়ে কার্যকর ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,2705,5,94,1
25 January 2021,ফরিদপুর মেডিকেল কলেজে কেনাকাটায় অনিয়ম পেয়েছে সংসদীয় কমিটি—এতে জড়িতদের বিরুদ্ধে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,3403,6,92,2
24 January 2021,পিইসি ও জেএসসি পরীক্ষা স্থায়ীভাবে বাতিলের পরামর্শ দিয়েছেন মোহাম্মদ ফরাসউদ্দিন—এর সঙ্গে আপনি কি একমত?,5160,88,11,1
23 January 2021,শিক্ষাপ্রতিষ্ঠান খুলে দেওয়ার ব্যাপারে চিন্তাভাবনা ও প্রস্তুতি নিচ্ছে সংশ্লিষ্ট মন্ত্রণালয়। করোনার বর্তমান পরিস্থিতিতে শিক্ষাপ্রতিষ্ঠান খুলে দেওয়ার সময় হয়েছে বলে মনে করেন কি?,8182,35,64,1
22 January 2021,"ব্যাংকের সব পরিচালক ও ব্যবস্থাপনা পরিচালককে সম্পদের তথ্য জমা দিতে বলেছে বাংলাদেশ ব্যাংক, এটা যথাযথভাবে মানা হবে বলে মনে করেন কি?",3181,14,85,1
20 January 2021,দেশের অর্থনীতি সঠিক পথে রয়েছে—অর্থমন্ত্রীর দাবির সঙ্গে আপনি কি একমত?,4403,12,87,1
19 January 2021,রাজধানীর গণপরিবহনে শৃঙ্খলা ফেরাতে রুটের পরিধি বাড়ানোর সিদ্ধান্ত নেওয়া হয়েছে—এতে কাজ হবে বলে মনে করেন কি?,1884,63,35,2
18 January 2021,সরকারি প্রকল্পে প্লটের আকার অনুযায়ী ভবনের নকশা নির্ধারণ করে দেওয়ার সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,2037,90,8,2
17 January 2021,"বিশ্বে করোনার রোগী শূন্যে না–ও নামতে পারে, বিশ্ব স্বাস্থ্য সংস্থার এ আশঙ্কার সঙ্গে আপনি কি একমত?",1829,93,6,1
16 January 2021,করোনার কারণে শিক্ষাপ্রতিষ্ঠানে ছুটি ৩০ জানুয়ারি পর্যন্ত বৃদ্ধির সিদ্ধান্তের সঙ্গে আপনি কি একমত?,3930,64,35,1
15 January 2021,চিনির দাম নিয়ন্ত্রণে সরকার কার্যকর পদক্ষেপ নেবে বলে মনে করেন কি?,3620,9,90,1
14 January 2021,"চীনের মধ্যস্থতায় আগামী সপ্তাহে বৈঠকে বসছে বাংলাদেশ-মিয়ানমার, এতে রোহিঙ্গা প্রত্যাবাসন নিয়ে ইতিবাচক অগ্রগতি হবে বলে মনে করেন কি?",3422,10,89,1
13 January 2021,শেয়ারবাজারে ঋণের সুদ বেঁধে দেওয়ায় বিনিয়োগকারীরা আরও বেশি আকৃষ্ট হবেন বলে মনে করেন কি?,1895,23,67,10
12 January 2021,আর্থিক প্রতিষ্ঠানগুলোর খেলাপি ঋণ দুই বছরে দ্বিগুণ হয়েছে—এটা কমাতে বাংলাদেশ ব্যাংক কার্যকর উদ্যোগ নেবে বলে মনে করেন কি?,2278,6,92,2
11 January 2021,করোনার কারণে বন্ধ থাকা ৯২টি ট্রেন চালু করা উচিত বলে মনে করেন কি?,3721,92,7,1
10 January 2021,নীরব এলাকা হিসেবে ঘোষিত সচিবালয়সহ আশপাশের এলাকায় শব্দদূষণ ঠেকাতে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,2574,11,86,3
9 January 2021,"সুজন সম্পাদক বদিউল আলম মজুমদার প্রার্থীদের হলফনামার তথ্যের সত্যতা নিয়ে প্রশ্ন তুলেছেন, তাঁর এই অবস্থানের সঙ্গে আপনি কি একমত?",3245,93,4,3
8 January 2021,সরকারি–বেসরকারি খাতে বিদ্যুৎ বিভাগের পাওনা সাড়ে ৮ হাজার কোটি টাকা আদায়ে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,2120,8,90,2
7 January 2021,কালোটাকা সাদা করার সুযোগ দেওয়ায় অর্থনীতিতে চাঞ্চল্য এসেছে—অর্থমন্ত্রীর এই বক্তব্যের সঙ্গে আপনি কি একমত?,2037,12,86,2
6 January 2021,"সোনার অলংকারের দামের সঙ্গে ভ্যাট ও মজুরি একীভূত করতে চায় জুয়েলার্স সমিতি, তাদের এই অবস্থানের সঙ্গে আপনি কি একমত?",1676,6,92,2
5 January 2021,ব্যবসার স্বার্থে অনুমোদন ছাড়াই এক লাখ ডলার বিদেশে পাঠানোর সুযোগ যৌক্তিক বলে মনে করেন কি?,2388,13,86,1
4 January 2021,ঢাকায় তিন বছর পর পানির মান নিয়ে সমস্যা থাকবে না—ওয়াসার এমডির এ বক্তব্যে আপনার আস্থা আছে কি?,2705,4,95,1
3 January 2021,আমদানি শুল্ক আরোপ করে পেঁয়াজ চাষিদের ন্যায্যমূল্য নিশ্চিত করা সম্ভব বলে মনে করেন কি?,2927,74,23,3
2 January 2021,জাতিসংঘের সাধারণ পরিষদের কর্ম অধিবেশনে মিয়ানমারের বিরুদ্ধে প্রস্তাব পাস হয়েছে—এটা রোহিঙ্গা প্রত্যাবাসনে সহায়ক হবে বলে মনে করেন কি?,2258,13,85,2
1 January 2021,"শেয়ারবাজারে আইপিও আবেদন করলেই পাবেন শেয়ার, লটারি থাকছে না—এ সিদ্ধান্তের সঙ্গে আপনি কি একমত?",1976,83,11,6
31 December 2020,ঢাকার জলাবদ্ধতা নিরসনে দুই সিটি করপোরেশনের ওপর আপনার আস্থা আছে কি?,2825,17,82,1
30 December 2020,চাল আমদানি করে বাজার নিয়ন্ত্রণে আনা সম্ভব হবে বলে মনে করেন কি?,3025,24,75,1
29 December 2020,বিশ্ববিদ্যালয়গুলোতে সান্ধ্য কোর্স বন্ধের সুপারিশ করেছে ইউজিসি—এর সঙ্গে আপনি কি একমত?,3596,61,37,2
28 December 2020,দুই বছর শ্রমিকদের ইনক্রিমেন্ট বন্ধ রাখতে শ্রম প্রতিমন্ত্রীকে চিঠি দিয়েছে বিকেএমইএ—এটা যৌক্তিক বলে মনে করেন কি?,3636,5,94,1
27 December 2020,ধান মজুতের ক্ষেত্রে চালকলমালিকদের জন্য খাদ্য মন্ত্রণালয়ের বিধিনিষেধের সঙ্গে আপনি কি একমত?,2788,91,6,3
26 December 2020,প্রশাসনের কর্মকর্তাদের অপরাধপ্রবণতা বেড়েছে—জনপ্রশাসনসচিবের এই বক্তব্য যৌক্তিক বলে মনে করেন কি?,5102,96,3,1
25 December 2020,বিদ্যুৎ খাতে উন্নত সঞ্চালন লাইন ও বিতরণ ব্যবস্থা গড়ে তোলার পরামর্শ দিয়েছেন বিশেষজ্ঞরা—সরকার তা আমলে নেবে বলে মনে করেন কি?,2893,22,75,3
24 December 2020,বন্ধ করে দেওয়া পাটকলগুলো চালু করতে বেসরকারি খাতে ইজারা দেওয়ার সরকারি সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,3119,89,10,1
23 December 2020,"যুগ্ম সচিবের পদমর্যাদা চান ঢাকার ওয়ার্ড কাউন্সিলররা, তাঁদের এই দাবি যৌক্তিক মনে করেন কি?",4725,3,96,1
22 December 2020,বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় বিভাগ পরিবর্তনে আলাদা পরীক্ষার দাবির সঙ্গে আপনি কি একমত?,6959,78,19,3
21 December 2020,নদীর সীমানা চিহ্নিত না করে উচ্ছেদ অভিযান চালালে তা ফলপ্রসূ হয় না—আপনিও কি তাই মনে করেন?,3669,95,4,1
20 December 2020,উত্তরা অ্যাপার্টমেন্ট প্রকল্পে গোপনে ২৮১ ফ্ল্যাট বরাদ্দ দেওয়ায় জড়িত ব্যক্তিদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,4133,7,92,1
19 December 2020,ঢাকায় এলাকাভিত্তিক পানির দাম নির্ধারণ করতে চায় ওয়াসা—এ পরিকল্পনার সঙ্গে আপনি কি একমত?,3843,24,74,2
18 December 2020,শিক্ষাপ্রতিষ্ঠানের চলমান ছুটি ১৬ জানুয়ারি পর্যন্ত বাড়ানোর সিদ্ধান্তের সঙ্গে আপনি কি একমত?,4276,69,30,1
17 December 2020,নিম্নমানের কাগজে বই ছাপার জন্য দায়ী ব্যক্তিদের বিরুদ্ধে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,4184,10,89,1
16 December 2020,বীর মুক্তিযোদ্ধাদের সমাধি সংরক্ষণ প্রকল্পের কাজে ধীরগতির জন্য একে অন্যকে দায়ী করছেন প্রকল্প কর্মকর্তারা। তাঁদের এমন ঢিলেমি কোনোভাবেই গ্রহণযোগ্য বলে মনে করেন কি?,2426,11,83,6
15 December 2020,শেয়ারবাজারকে ইউনিয়ন পর্যায় পর্যন্ত ছড়িয়ে দিতে ব্রোকারেজ হাউসগুলোকে ডিজিটাল বুথ খোলার অনুমোদন দেওয়া হয়েছে। এই উদ্যোগ যৌক্তিক বলে মনে করেন কি?,1514,56,38,6
14 December 2020,সবার জন্য করোনার টিকা নিশ্চিত করতে আন্তর্জাতিক সম্প্রদায় যথাযথ উদ্যোগ নেবে বলে মনে করেন কি?,1840,11,87,2
13 December 2020,"করোনার চিকিৎসায় নিয়োজিত চিকিৎসক, নার্সসহ স্বাস্থ্যকর্মীদের বিশেষ আবাসন ভাতা দেওয়ার সিদ্ধান্ত নিয়েছিল সরকার। কিন্তু সাড়ে চার মাস পরও তা পাননি কোনো স্বাস্থ্যকর্মী। এ বিষয়ে আশু ব্যবস্থা গ্রহণ করা প্রয়োজন বলে মনে করেন কি?",2142,84,14,2
12 December 2020,দেশে পরীক্ষাগারের সংখ্যা বাড়লেও করোনাভাইরাসের নমুনা পরীক্ষার হার বাড়েনি। তাহলে করোনা মোকাবিলায় কর্তৃপক্ষ যথাযথ পদক্ষেপ নিচ্ছে বলে মনে করেন কি?,2391,3,96,1
11 December 2020,আবাসিক হল বন্ধ রেখেই ২৬ ডিসেম্বর থেকে ঢাকা বিশ্ববিদ্যালয়ের স্নাতক শেষ বর্ষ ও স্নাতকোত্তর পরীক্ষা নেওয়া হবে। বিশ্ববিদ্যালয় কর্তৃপক্ষের এ সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,2507,16,82,2
10 December 2020,করোনার শুরুতে দেশে দুর্নীতির উৎসব হয়েছিল। শিক্ষাবিদ সৈয়দ মনজুরুল ইসলামের এ মন্তব্যের সঙ্গে আপনি কি একমত?,2553,96,3,1
9 December 2020,যুক্তরাষ্ট্রে জনতা ব্যাংকের ছয় লাখ মার্কিন ডলারের বেশি অর্থ চুরি হয়েছে। অর্থ উদ্ধারে জনতা ব্যাংকের নেওয়া আইনি পদক্ষেপ যথেষ্ট বলে মনে করেন কি?,3126,4,94,2
9 December 2020,সরকারের প্রণোদনা প্যাকেজের ঋণের অর্থ পরিশোধে বিজিএমইএ দুই বছরের পরিবর্তে পাঁচ বছর সময় চেয়েছে। তাদের এই চাওয়া যৌক্তিক বলে মনে করেন কি?,2193,10,88,2
7 December 2020,আয়কর রিটার্ন জমা দেওয়ার সময় বৃদ্ধির উদ্যোগ নেওয়া উচিত বলে মনে করেন কি?,4028,86,13,1
6 December 2020,মোটরসাইকেলের অবৈধ আমদানি ঠেকাতে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,3473,13,86,1
6 December 2020,প্রথম শ্রেণির মতো সব শ্রেণিতেই লটারির মাধ্যমে শিক্ষার্থী ভর্তির সিদ্ধান্ত যৌক্তিক বলে মনে করেন কি?,2882,7,91,2
4 December 2020,তথ্যপ্রযুক্তি বিভাগের ৬০০ অ্যাপের মধ্যে ৫০০ নিখোঁজ—এ বিষয়ে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,2820,37,61,2
3 December 2020,দশম শ্রেণির আগে কোনো পাবলিক পরীক্ষা থাকবে না—এ সিদ্ধান্তের সঙ্গে আপনি কি একমত?,3748,8,91,1
2 December 2020,করোনার মধ্যে শিক্ষার্থীদের ভোগান্তি কমাতে গুচ্ছ ভিত্তিতে বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষা নেওয়া উচিত বলে মনে করেন কি?,3310,7,91,2
1 December 2020,"সড়ক পরিবহনমন্ত্রী বলেছেন, বাসের চালকসহ সব স্টাফকে বাধ্যতামূলক নির্ধারিত পোশাক পরতে হবে—এটা কার্যকর হবে বলে মনে করেন কি?",3348,5,93,2
30 November 2020,রোহিঙ্গা সংকটের জরুরি সমাধানে জাতিসংঘে প্রস্তাব গৃহীত হয়েছে—এতে প্রত্যাবাসন প্রক্রিয়া গতি পাবে বলে মনে করেন কি?,3461,80,18,2
29 November 2020,করোনাকালে বেসরকারি শিক্ষাপ্রতিষ্ঠানগুলো নির্ধারিত টিউশন ফি ছাড়া অন্য কোনো ফি আদায় করতে পারবে না—মাউশির এ নির্দেশনা মানা হবে বলে মনে করেন কি?,3071,95,4,1
28 November 2020,বেসরকারি মেডিকেলে স্বাস্থ্যসেবার মূল্য নির্ধারণ করে দেবে সরকার—এ উদ্যোগের সঙ্গে আপনি কি একমত?,3343,6,91,3
17 November 2020,"যখন উচিত, তখন নির্বাচনে যায় না বিএনপি—দলটির নেতা মেজর (অব.) হাফিজের এ বক্তব্যের সঙ্গে আপনি কি একমত?",1429,74,19,7
16 November 2020,রাজধানীর ৬৫ খাল উদ্ধারে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,4097,8,91,1
15 November 2020,আগামী শীতের মধ্যে জীবনযাত্রা স্বাভাবিক হবে—ফাইজারের টিকার উদ্ভাবক উগর শাহিনের এই বক্তব্যে আপনার আস্থা আছে কি?,2256,31,65,4
14 November 2020,টিআইএনধারী ৭০ থেকে ৭৫ হাজার কোম্পানির মধ্যে অর্ধেকই আয়কর রিটার্ন দেয় না—এদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,2911,11,87,2
13 November 2020,শিক্ষাপ্রতিষ্ঠানে ১৯ ডিসেম্বর পর্যন্ত ছুটি বৃদ্ধির সিদ্ধান্তের সঙ্গে আপনি কি একমত?,4225,71,28,1
12 November 2020,"করোনা নিয়ে টিআইবির প্রতিবেদন যতটা না গবেষণাধর্মী, তার চেয়ে বেশি রাজনৈতিক—ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?",3824,6,92,2
11 November 2020,মুঠোফোনের টাকা কাটা হয় গ্রাহককে না জানিয়ে—বিটিআরসি এ বিষয়ে যথাযথ ব্যবস্থা নেবে বলে মনে করেন কি?,5714,9,90,1
11 November 2020,"বাইরের জেলার বাস ঢাকায় ঢুকবে না, রাজধানীর পরিবহন চলবে ৪২ রুটে—এ উদ্যোগে যানজট কমবে বলে মনে করেন কি?",4892,74,24,2
9 November 2020,"জমি নিবন্ধনের আট দিনের মধ্যেই স্বয়ংক্রিয়ভাবে হবে নামজারি, এতে অনিয়ম-ভোগান্তি কমবে বলে মনে করেন কি?",3543,89,9,2
8 November 2020,ঢাকা বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষায় ‘ঘ’ ও ‘চ’ ইউনিট বন্ধের প্রস্তাবের সঙ্গে আপনি কি একমত?,3640,25,69,6
27 October 2020,বাজার নিয়ন্ত্রণে ব্যবসায়ীদের সঙ্গে সুসম্পর্ক বজায় রাখার পরামর্শ দিয়েছে সংসদীয় কমিটি—এতে কাজ হবে বলে মনে করেন কি?,4006,4,95,1
26 October 2020,ডিসেম্বরে আসতে পারে করোনাপ্রতিরোধী টিকা—যুক্তরাষ্ট্রের সংক্রামক ব্যাধি বিশেষজ্ঞ অ্যান্থনি ফাউসির এ বক্তব্যে আপনার আস্থা আছে কি?,3693,17,79,4
26 October 2020,সরাসরি ভর্তি পরীক্ষা নেবে চট্টগ্রাম বিশ্ববিদ্যালয়—এ সিদ্ধান্তের সঙ্গে আপনি কি একমত?,4809,87,11,2
24 October 2020,"ওবায়দুল কাদের বলেছেন, দ্রব্যমূল্য ওঠানামার পেছনে কাজ করে সিন্ডিকেট—এই সিন্ডিকেট ভাঙার উদ্যোগ নেওয়া হবে বলে মনে করেন কি?",4925,5,93,2
23 October 2020,সব ব্যাংক থেকে মুঠোফোনে ও মুঠোফোন থেকে ব্যাংকে টাকা পাঠানোর সুযোগ হলে গ্রাহকেরা উপকৃত হবেন বলে মনে করেন কি?,4747,94,5,1
22 October 2020,দু-তিন দিনের মধ্যে আলুর দাম কমবে—বাণিজ্যমন্ত্রীর এই আশাবাদের সঙ্গে আপনি কি একমত?,3274,5,93,2
21 October 2020,সাপ্তাহিক অ্যাসাইনমেন্টের ভিত্তিতে মাধ্যমিক স্তরের শিক্ষার্থীদের যথাযথ মূল্যায়ন হবে বলে মনে করেন কি?,3902,11,86,3
20 October 2020,বেদখলে থাকা পৌনে ৩ লাখ একর বনভূমি উদ্ধারে সরকার উদ্যোগ নেবে বলে মনে করেন কি?,2297,10,88,2
19 October 2020,পাবলিক বিশ্ববিদ্যালয়ে অনলাইনে ভর্তি পরীক্ষা নেওয়ার নীতিগত সিদ্ধান্তের সঙ্গে কি আপনি একমত?,4062,13,85,2
18 October 2020,টিসিবি ২৫ টাকা কেজি দরে আলু বিক্রি করবে—বাজারে এর প্রভাব পড়বে বলে মনে করেন কি?,3480,13,86,12
17 October 2020,"ঢাকা-৫ ও নওগাঁ-৬ আসনের উপনির্বাচন সুষ্ঠু হয়েছে, সিইসির এই বক্তব্যের সঙ্গে আপনি কি একমত?",4079,6,91,3
16 October 2020,দেশে রান্নার জ্বালানির ক্ষেত্রে গ্যাসের তিন রকম দাম যৌক্তিক বলে মনে করেন কি?,3177,6,93,1
15 October 2020,বোরো মৌসুমে ধানবীজে কেজি প্রতি ১০ টাকা ভর্তুকি দেওয়ার কথা জানিয়েছেন কৃষিমন্ত্রী—এটা যথেষ্ট বলে মনে করেন কি?,2303,14,83,3
14 October 2020,দাম বেঁধে দেওয়ার পর খুচরা বাজারে প্রতি কেজি আলু ৩০ টাকায় বিক্রি হবে বলে মনে করেন কি?,3347,4,95,1
13 October 2020,চীন তার আমদানি তালিকায় থাকা বাংলাদেশের ৯৭ শতাংশ পণ্যে শুল্কমুক্ত সুবিধা দিয়েছে—ব্যবসায়ীরা এ সুযোগ কাজে লাগাতে পারবেন বলে মনে করেন কি?,2826,35,62,3
12 October 2020,শেয়ারবাজারে সম্মিলিত বিনিয়োগ করতে যাচ্ছে সরকারি পাঁচ প্রতিষ্ঠান—এতে বাজারে ইতিবাচক প্রভাব পড়বে বলে মনে করেন কি?,2229,20,76,4
11 October 2020,বিদেশি কোম্পানির জন্যও প্রণোদনা চায় বিজিএমইএ—এটা যৌক্তিক বলে মনে করেন কি?,3235,6,93,1
10 October 2020,ঢাকায় আবাসিক ভবন হবে সর্বোচ্চ আটতলা—রাজউকের এই প্রস্তাবের সঙ্গে আপনি কি একমত?,3669,69,29,2
9 October 2020,করোনাভাইরাসের কারণে এইচএসসি ও সমমানের পরীক্ষা না নেওয়ার সিদ্ধান্তের সঙ্গে আপনি কি একমত?,3785,32,66,2
8 October 2020,"ট্রাম্প করোনার যে চিকিৎসা পেয়েছেন, বাংলাদেশের মানুষও একই চিকিৎসা পেয়েছে—স্বাস্থ্যমন্ত্রীর এ বক্তব্যের সঙ্গে আপনি কি একমত?",5613,3,96,1
7 October 2020,এমসি কলেজের ছাত্রাবাসে ধর্ষণের ঘটনায় জড়িত কাউকে ছাড় দেওয়া হবে না—ওবায়দুল কাদেরের এ বক্তব্যে আপনার আস্থা আছে কি?,4003,4,95,1
6 October 2020,প্রণোদনার কৃষিঋণ বিতরণ কম হওয়ায় ঋণ বিতরণের সময় বাড়িয়েছে কেন্দ্রীয় ব্যাংক—এতে কাজ হবে বলে মনে করেন কি?,1756,6,92,2
5 October 2020,খেলাপি ঋণ নিয়ন্ত্রণে বাংলাদেশ ব্যাংক অকার্যকর প্রতিষ্ঠানে পরিণত হয়েছে—টিআইবির এই বক্তব্য যৌক্তিক বলে মনে করেন কি?,4524,7,92,1
4 October 2020,স্কুল না খুললে অষ্টম শ্রেণির শিক্ষার্থীদের ১৫ মার্চ পর্যন্ত নেওয়া ক্লাস এবং অনলাইন ক্লাসের ভিত্তিতে মূল্যায়ন হবে—এই প্রক্রিয়া যৌক্তিক বলে মনে করেন কি?,4454,93,5,2
3 October 2020,"স্বাস্থ্যের কেলেঙ্কারিতে যাঁদের নাম আসছে, তাঁদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?",4073,64,33,3
2 October 2020,অনলাইনে টিসিবির পেঁয়াজ বিক্রির আওতা বাড়ানো উচিত বলে মনে করেন কি?,5420,3,96,1
1 October 2020,সরকারি কারখানার সারের বস্তায় ওজনে কম—এ জন্য দায়ী ব্যক্তিদের বিরুদ্ধে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,6418,75,24,1
30 September 2020,আমদানি শুল্ক প্রত্যাহৃত হয়েছে—এবার পেঁয়াজের দাম নিয়ন্ত্রণে আসবে বলে মনে করেন কি?,5015,90,9,1
29 September 2020,সীমান্তে হত্যা শূন্যে নামিয়ে আনার প্রতিশ্রুতি দিয়েছে ভারতের সীমান্তরক্ষী বাহিনী বিএসএফ—এতে আপনার আস্থা আছে কি?,5010,8,91,1
28 September 2020,টিকা দ্রুত পেতে অগ্রিম টাকা জমা দিতে সরকারকে পরামর্শ দিয়েছে করোনাবিষয়ক জাতীয় কমিটি—এর সঙ্গে আপনি কি একমত?,4005,5,93,2
27 September 2020,এমসি কলেজের ছাত্রাবাসে ধর্ষণের ঘটনায় জড়িত কাউকে ছাড় দেওয়া হবে না—ওবায়দুল কাদেরের এ বক্তব্যে আপনার আস্থা আছে কি?,5517,8,90,2
26 September 2020,প্রণোদনার কৃষিঋণ বিতরণ কম হওয়ায় ঋণ বিতরণের সময় বাড়িয়েছে কেন্দ্রীয় ব্যাংক—এতে কাজ হবে বলে মনে করেন কি?,2714,10,86,4
25 September 2020,"খেলাপি ঋণ নিয়ন্ত্রণে বাংলাদেশ ব্যাংক অকার্যকর প্রতিষ্ঠানে পরিণত হয়েছে—টিআইবির এই বক্তব্য যৌক্তিক বলে মনে করেন কি?",3209,96,3,1
24 September 2020,স্কুল না খুললে অষ্টম শ্রেণির শিক্ষার্থীদের ১৫ মার্চ পর্যন্ত নেওয়া ক্লাস এবং অনলাইন ক্লাসের ভিত্তিতে মূল্যায়ন হবে—এই প্রক্রিয়া যৌক্তিক বলে মনে করেন কি?,3288,28,69,3
23 September 2020,"স্বাস্থ্যের কেলেঙ্কারিতে যাঁদের নাম আসছে, তাঁদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?",3748,7,92,1
22 September 2020,অনলাইনে টিসিবির পেঁয়াজ বিক্রির আওতা বাড়ানো উচিত বলে মনে করেন কি?,3192,93,6,1
21 September 2020,সরকারি কারখানার সারের বস্তায় ওজনে কম—এ জন্য দায়ী ব্যক্তিদের বিরুদ্ধে যথাযথ ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,3477,7,92,1
20 September 2020,আমদানি শুল্ক প্রত্যাহৃত হয়েছে—এবার পেঁয়াজের দাম নিয়ন্ত্রণে আসবে বলে মনে করেন কি?,3421,12,86,2
19 September 2020,সীমান্তে হত্যা শূন্যে নামিয়ে আনার প্রতিশ্রুতি দিয়েছে ভারতের সীমান্তরক্ষী বাহিনী বিএসএফ—এতে আপনার আস্থা আছে কি?,4201,4,95,1
18 September 2020,টিকা দ্রুত পেতে অগ্রিম টাকা জমা দিতে সরকারকে পরামর্শ দিয়েছে করোনাবিষয়ক জাতীয় কমিটি—এর সঙ্গে আপনি কি একমত?,3286,27,70,3
17 September 2020,পোড়ার চিকিৎসা সারা দেশে ছড়িয়ে দেওয়ার উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,2559,17,79,4
16 September 2020,পেঁয়াজ নিয়ে আতঙ্কিত না হতে ভোক্তাদের প্রতি আহ্বান জানিয়েছেন বাণিজ্যমন্ত্রী—এতে আপনার আস্থা আছে কি?,3808,8,91,1
15 September 2020,শতভাগ আসনে যাত্রী নিয়ে ট্রেন চলবে বুধবার থেকে—এই সিদ্ধান্তের সঙ্গে আপনি কি একমত?,3849,58,40,2
14 September 2020,"বিশ্ববিদ্যালয়ে নিয়মশৃঙ্খলার অভাব দেখা যাচ্ছে, ইউজিসি চেয়ারম্যানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",3761,96,3,1
13 September 2020,সারা দেশে পেঁয়াজসহ চারটি পণ্য বিক্রি শুরু করেছে টিসিবি—মূল্য নিয়ন্ত্রণে এটা সহায়ক হবে বলে মনে করেন কি?,3628,12,87,1
12 September 2020,বুড়িগঙ্গার তীর পুনর্দখল ঠেকাতে বাগান তৈরির উদ্যোগ নিয়েছে বিআইডব্লিউটিএ—এতে কাজ হবে বলে মনে করেন কি?,3325,22,76,2
11 September 2020,"প্রতিটি জেলায় পরীক্ষাকেন্দ্র থাকলে করোনা রোগী শনাক্তের সংখ্যা আরও বাড়ত, অধ্যাপক নজরুল ইসলামের এই বক্তব্যের সঙ্গে আপনি কি একমত?",3859,98,2,0
10 September 2020,রাজধানী ও আশপাশের এলাকায় অবৈধ গ্যাস–সংযোগের জন্য দায়ী ব্যক্তিদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,3247,6,93,1
9 September 2020,"প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়ের জ্যেষ্ঠ সচিব বলেছেন, এখন পর্যন্ত স্কুল খোলার পরিবেশ তৈরি হয়নি—আপনিও কি তাই মনে করেন?",3739,86,13,1
